,Team_Name,Tries_Scored,Conversions,Conversion_Attempts,Conversion_Percentage,Penalty_Goals,Penalty_Attempts,Penalty_Percentage,Kick_at_Goal_Success,Drop_Goals,Drop_Goal_Attempts,Kicks_from_Hand,Passes,Runs,Metres_Run,Possession(%),Clean_Breaks,Defenders_Beaten,Offloads,Rucks_Won,Total_Rucks,%Rucks_Won,Mauls_Won,Total_Mauls,%Mauls_Won,Turnovers_Conceded,Tackles_Made,Tackles_Missed,Tackling_Success_Rate,Own_Scrum_Won,Own_Scrum_Lost,Opp_Scrum_Won,Opp_Scrum_Lost,%Scrums_on_own_feed,Own_Lineout_Won,Own_Lineout_Lost,Opp_Lineout_Won,Opp_Lineout_Lost,%Lineouts_on_own_feed,Penalties_Conceeded,Yellow_Cards,Red_Cards,Referee,Playing_Location,Result,Outcome,Tot_Own_Scrums,Penalties_Won
0,Northampton Saints,8.0,5.0,8.0,62.5,1.0,1.0,100.0,0.67,0.0,0.0,32.0,131.0,115.0,500.0,0.52,12.0,17.0,19.0,67.0,71.0,0.9440000000000001,8.0,8.0,1,17.0,104,16,0.87,3.0,2.0,3.0,5.0,1,13.0,2.0,3.0,5.0,0.867,10,0,0,W Barnes,1,53 ,1.0,5.0,9 
1,Gloucester Rugby,0.0,0.0,0.0,0.0,2.0,4.0,50.0,0.5,0.0,0.0,18.0,122.0,98.0,279.0,0.48,1.0,16.0,13.0,68.0,73.0,0.932,2.0,2.0,1,14.0,96,17,0.85,5.0,3.0,2.0,3.0,1,5.0,3.0,2.0,13.0,0.625,9 ,1,0,W Barnes,0, 6,0.0,8.0,10
2,Sale Sharks,2.0,2.0,2.0,100.0,2.0,2.0,100.0,1.0,0.0,0.0,34.0,144.0,117.0,403.0,0.5,5.0,14.0,10.0,76.0,80.0,0.95,0.0,0.0,0,14.0,69,15,0.82,3.0,3.0,3.0,5.0,0,9.0,1.0,3.0,13.0,0.9,12,0,0,JP Doyle,1,20 ,0.0,6.0,7
3,Bath Rugby,2.0,2.0,2.0,100.0,5.0,5.0,100.0,1.0,0.0,1.0,33.0,105.0,76.0,325.0,0.5,5.0,15.0,4.0,43.0,45.0,0.956,0.0,0.0,0,15.0,135,14,0.91,5.0,3.0,3.0,3.0,0,13.0,3.0,1.0,9.0,0.812,7,1,0,JP Doyle,0, 29,1.0,8.0,12
4,Saracens,4.0,4.0,4.0,100.0,2.0,4.0,50.0,0.75,0.0,0.0,35.0,97.0,88.0,362.0,0.45,4.0,7.0,6.0,63.0,67.0,0.94,4.0,4.0,1,9.0,130,23,0.85,8.0,1.0,0.0,3.0,1,11.0,2.0,1.0,13.0,0.846,8 ,1,0,A Small,1,34 ,1.0,9.0,8 
5,Wasps,3.0,2.0,3.0,66.66666666666666,3.0,3.0,100.0,0.83,0.0,0.0,33.0,123.0,121.0,424.0,0.55,10.0,23.0,10.0,90.0,94.0,0.9570000000000001,3.0,4.0,0,13.0,95,7,0.93,3.0,0.0,1.0,8.0,0,13.0,1.0,2.0,11.0,0.929,8 ,0,0,A Small,0, 28,0.0,3.0,8 
6,Leicester Tigers,4.0,2.0,4.0,50.0,4.0,4.0,100.0,0.75,0.0,0.0,28.0,100.0,83.0,426.0,0.67,5.0,9.0,8.0,49.0,52.0,0.9420000000000001,0.0,0.0,0,10.0,118,24,0.83,10.0,1.0,3.0,3.0,0,11.0,1.0,4.0,13.0,0.917,10,0,0,L Pearce,1,36 ,1.0,11.0,13
7,Newcastle Falcons,2.0,2.0,2.0,100.0,1.0,1.0,100.0,1.0,0.0,0.0,17.0,168.0,136.0,558.0,0.33,12.0,24.0,12.0,71.0,76.0,0.934,0.0,0.0,0,17.0,85,9,0.9,3.0,3.0,1.0,10.0,0,13.0,4.0,1.0,11.0,0.765,13,0,0,L Pearce,0, 17,0.0,6.0,10
8,London Irish,0.0,0.0,0.0,0.0,5.0,6.0,83.33333333333334,0.83,0.0,0.0,14.0,159.0,128.0,361.0,0.58,2.0,13.0,19.0,98.0,99.0,0.99,4.0,4.0,1,13.0,94,5,0.95,5.0,1.0,2.0,5.0,1,12.0,1.0,0.0,10.0,0.9229999999999999,13,1,0,GM Garner,1,15 ,0.0,6.0,17
9,Harlequins,2.0,2.0,2.0,100.0,2.0,6.0,33.33333333333333,0.5,0.0,0.0,21.0,115.0,90.0,305.0,0.42,2.0,5.0,10.0,58.0,61.0,0.951,8.0,12.0,0,9.0,134,13,0.91,5.0,2.0,1.0,5.0,0,10.0,0.0,1.0,12.0,1.0,17,2,0,GM Garner,0, 20,1.0,7.0,13
10,London Welsh,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,31.0,157.0,97.0,283.0,0.55,1.0,16.0,11.0,78.0,80.0,0.975,3.0,4.0,0,13.0,64,22,0.74,7.0,1.0,2.0,1.0,0,13.0,6.0,2.0,10.0,0.684,6 ,1,0,DD Richards,1,0 ,0.0,8.0,14
11,Exeter Chiefs,7.0,7.0,7.0,100.0,1.0,1.0,100.0,1.0,0.0,0.0,23.0,134.0,103.0,766.0,0.45,14.0,22.0,18.0,55.0,60.0,0.917,3.0,4.0,0,13.0,109,16,0.87,1.0,2.0,1.0,7.0,0,10.0,2.0,6.0,13.0,0.833,14,1,0,DD Richards,0, 52,1.0,3.0,6 
12,Harlequins,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,129.0,109.0,268.0,0.65,3.0,22.0,10.0,75.0,81.0,0.9259999999999999,9.0,10.0,0,20.0,53,5,0.91,5.0,2.0,2.0,4.0,0,20.0,2.0,2.0,9.0,0.909,12,1,0,W Barnes,1,0 ,0.0,7.0,14
13,Saracens,3.0,3.0,3.0,100.0,6.0,6.0,100.0,1.0,0.0,0.0,26.0,55.0,56.0,201.0,0.35,7.0,5.0,3.0,38.0,41.0,0.927,3.0,4.0,0,11.0,123,22,0.85,4.0,2.0,2.0,5.0,0,9.0,2.0,2.0,20.0,0.818,14,2,0,W Barnes,0, 39,1.0,6.0,12
14,Bath Rugby,7.0,6.0,7.0,85.71428571428571,2.0,2.0,100.0,0.89,0.0,0.0,18.0,186.0,146.0,652.0,0.64,14.0,24.0,14.0,84.0,90.0,0.9329999999999999,0.0,0.0,0,15.0,90,18,0.83,2.0,0.0,5.0,5.0,0,12.0,1.0,6.0,10.0,0.9229999999999999,11,0,0,M Carley,1,53 ,1.0,2.0,11
15,London Welsh,4.0,3.0,4.0,75.0,0.0,1.0,0.0,0.6,0.0,0.0,13.0,121.0,96.0,387.0,0.36,11.0,18.0,14.0,53.0,55.0,0.9640000000000001,0.0,0.0,0,10.0,133,24,0.85,5.0,5.0,0.0,2.0,0,10.0,6.0,1.0,12.0,0.625,11,0,0,M Carley,0, 26,0.0,10.0,11
16,Gloucester Rugby,3.0,2.0,3.0,66.66666666666666,5.0,6.0,83.33333333333334,0.78,0.0,0.0,27.0,121.0,94.0,382.0,0.43,3.0,18.0,9.0,64.0,70.0,0.914,0.0,0.0,0,13.0,108,16,0.87,7.0,1.0,2.0,2.0,0,9.0,3.0,8.0,9.0,0.75,10,0,0,GM Garner,1,34 ,1.0,8.0,11
17,Sale Sharks,4.0,2.0,4.0,50.0,1.0,1.0,100.0,0.6,0.0,0.0,22.0,108.0,88.0,405.0,0.57,7.0,16.0,7.0,61.0,65.0,0.938,0.0,0.0,0,15.0,117,18,0.87,2.0,2.0,1.0,7.0,0,9.0,8.0,3.0,9.0,0.529,11,0,0,GM Garner,0, 27,0.0,4.0,10
18,Exeter Chiefs,2.0,2.0,2.0,100.0,2.0,2.0,100.0,1.0,0.0,0.0,26.0,82.0,84.0,300.0,0.49,5.0,25.0,7.0,45.0,50.0,0.9,6.0,8.0,0,13.0,78,11,0.88,6.0,0.0,2.0,8.0,0,18.0,5.0,0.0,10.0,0.7829999999999999,9 ,1,0,JP Doyle,1,20 ,0.0,6.0,9 
19,Leicester Tigers,2.0,1.0,2.0,50.0,4.0,4.0,100.0,0.83,0.0,0.0,35.0,98.0,90.0,270.0,0.51,8.0,11.0,9.0,54.0,56.0,0.9640000000000001,8.0,8.0,1,10.0,82,25,0.77,8.0,2.0,0.0,6.0,1,10.0,0.0,5.0,18.0,1.0,9 ,1,0,JP Doyle,0, 24,1.0,10.0,9 
20,Wasps,2.0,2.0,2.0,100.0,2.0,3.0,66.66666666666666,0.8,0.0,1.0,25.0,98.0,76.0,228.0,0.43,3.0,11.0,5.0,57.0,61.0,0.934,4.0,5.0,0,11.0,111,14,0.89,5.0,1.0,1.0,5.0,0,12.0,3.0,1.0,17.0,0.8,17,1,0,L Pearce,1,20 ,1.0,6.0,10
21,Northampton Saints,1.0,1.0,1.0,100.0,3.0,4.0,75.0,0.8,0.0,0.0,27.0,131.0,110.0,338.0,0.57,3.0,14.0,10.0,78.0,82.0,0.951,12.0,1.0,0,11.0,71,11,0.87,5.0,1.0,1.0,5.0,0,17.0,1.0,3.0,12.0,0.9440000000000001,10,1,0,L Pearce,0, 16,0.0,6.0,17
22,Newcastle Falcons,3.0,0.0,3.0,0.0,1.0,4.0,25.0,0.14,0.0,0.0,21.0,205.0,132.0,447.0,0.6,8.0,16.0,13.0,96.0,10.0,0.941,0.0,0.0,0,10.0,103,15,0.87,5.0,2.0,2.0,3.0,0,13.0,1.0,0.0,12.0,0.929,12,0,0,A Small,1,18 ,0.0,7.0,14
23,London Irish,2.0,2.0,2.0,100.0,2.0,3.0,66.66666666666666,0.8,0.0,0.0,18.0,130.0,105.0,348.0,0.4,9.0,15.0,15.0,65.0,71.0,0.915,0.0,0.0,0,12.0,133,16,0.89,3.0,2.0,2.0,5.0,0,12.0,0.0,1.0,13.0,1.0,14,1,0,A Small,0, 20,1.0,5.0,12
24,Gloucester Rugby,3.0,2.0,3.0,66.66666666666666,1.0,2.0,50.0,0.6,0.0,0.0,31.0,137.0,138.0,385.0,0.59,6.0,27.0,12.0,97.0,97.0,1.0,7.0,7.0,1,18.0,97,18,0.84,7.0,1.0,0.0,7.0,1,15.0,1.0,0.0,7.0,0.938,9,1,0,M Carley,1,22 ,0.0,8.0,7
25,Exeter Chiefs,1.0,1.0,1.0,100.0,6.0,8.0,75.0,0.78,0.0,0.0,35.0,119.0,119.0,468.0,0.41,7.0,18.0,9.0,72.0,73.0,0.986,2.0,2.0,1,18.0,140,27,0.84,7.0,0.0,1.0,7.0,1,7.0,0.0,1.0,15.0,1.0,7,1,0,M Carley,0, 25,1.0,7.0,9
26,Sale Sharks,6.0,5.0,6.0,83.33333333333334,2.0,2.0,100.0,0.88,0.0,0.0,21.0,170.0,124.0,583.0,0.86,16.0,27.0,10.0,83.0,86.0,0.965,0.0,0.0,0,15.0,62,9,0.87,7.0,0.0,0.0,9.0,0,13.0,5.0,3.0,10.0,0.722,11,0,0,A Small,1,46 ,1.0,7.0,11
27,London Welsh,1.0,0.0,1.0,0.0,1.0,2.0,50.0,0.33,0.0,0.0,22.0,110.0,66.0,199.0,0.14,2.0,9.0,5.0,43.0,48.0,0.8959999999999999,0.0,0.0,0,15.0,109,27,0.8,9.0,0.0,0.0,7.0,0,10.0,3.0,5.0,13.0,0.769,11,1,0,A Small,0, 8,0.0,9.0,11
28,Harlequins,2.0,2.0,2.0,100.0,3.0,4.0,75.0,0.83,1.0,0.0,28.0,132.0,110.0,414.0,0.4,3.0,12.0,8.0,76.0,80.0,0.95,0.0,0.0,0,15.0,96,25,0.79,10.0,0.0,0.0,4.0,0,12.0,1.0,3.0,13.0,0.9229999999999999,10,1,0,JP Doyle,1,26 ,1.0,10.0,10
29,Wasps,3.0,1.0,3.0,33.33333333333333,2.0,3.0,66.66666666666666,0.5,0.0,0.0,24.0,122.0,89.0,353.0,0.6,10.0,25.0,6.0,65.0,67.0,0.97,0.0,0.0,0,15.0,111,12,0.9,4.0,0.0,0.0,10.0,0,13.0,3.0,1.0,12.0,0.812,10,1,0,JP Doyle,0, 23,0.0,4.0,10
30,London Irish,4.0,3.0,4.0,75.0,2.0,5.0,40.0,0.56,0.0,0.0,27.0,70.0,74.0,237.0,0.57,7.0,16.0,6.0,41.0,42.0,0.976,0.0,0.0,0,8.0,56,9,0.86,2.0,4.0,2.0,4.0,0,10.0,1.0,0.0,9.0,0.909,12,0,0,L Pearce,1,32 ,0.0,6.0,8
31,Saracens,3.0,3.0,3.0,100.0,5.0,8.0,62.5,0.73,0.0,0.0,21.0,60.0,77.0,376.0,0.43,4.0,9.0,4.0,35.0,40.0,0.875,0.0,0.0,0,7.0,56,16,0.78,4.0,2.0,4.0,2.0,0,9.0,0.0,1.0,10.0,1.0,8,0,0,L Pearce,0, 36,1.0,6.0,12
32,Bath Rugby,5.0,4.0,5.0,80.0,3.0,3.0,100.0,0.88,1.0,0.0,22.0,134.0,100.0,677.0,0.42,19.0,23.0,14.0,58.0,61.0,0.951,4.0,4.0,1,16.0,132,11,0.92,2.0,0.0,3.0,5.0,1,12.0,2.0,0.0,16.0,0.857,7 ,1,0,W Barnes,1,45 ,1.0,2.0,12
33,Leicester Tigers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,165.0,107.0,316.0,0.58,2.0,11.0,10.0,79.0,84.0,0.94,5.0,8.0,0,9.0,98,23,0.81,5.0,3.0,0.0,2.0,0,16.0,0.0,2.0,12.0,1.0,12,0,1,W Barnes,0, 0,0.0,8.0,7 
34,Newcastle Falcons,1.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,0.0,0.0,21.0,205.0,148.0,421.0,0.61,4.0,22.0,15.0,11.0,1.0,0.9740000000000001,5.0,5.0,1,17.0,86,20,0.81,9.0,0.0,1.0,9.0,1,12.0,3.0,0.0,7.0,0.8,9 ,1,0,GM Garner,1,10 ,0.0,9.0,12
35,Northampton Saints,4.0,3.0,4.0,75.0,3.0,3.0,100.0,0.86,0.0,0.0,26.0,143.0,112.0,613.0,0.39,15.0,20.0,16.0,65.0,66.0,0.985,3.0,3.0,1,12.0,134,22,0.86,9.0,1.0,0.0,9.0,1,7.0,0.0,3.0,12.0,1.0,12,0,0,GM Garner,0, 35,1.0,10.0,9 
36,London Welsh,1.0,1.0,1.0,100.0,1.0,2.0,50.0,0.67,0.0,0.0,19.0,112.0,84.0,281.0,0.48,4.0,15.0,7.0,66.0,70.0,0.943,7.0,7.0,1,12.0,106,33,0.76,5.0,2.0,1.0,6.0,1,10.0,0.0,2.0,12.0,1.0,19,2,0,L Pearce,1,10 ,0.0,7.0,6 
37,Gloucester Rugby,6.0,5.0,6.0,83.33333333333334,2.0,5.0,40.0,0.64,0.0,0.0,24.0,113.0,108.0,589.0,0.52,14.0,33.0,9.0,77.0,78.0,0.987,7.0,7.0,1,9.0,90,15,0.86,6.0,1.0,2.0,5.0,1,12.0,2.0,0.0,10.0,0.857,6 ,0,0,L Pearce,0, 46,1.0,7.0,19
38,Leicester Tigers,1.0,1.0,1.0,100.0,4.0,7.0,57.14285714285714,0.62,0.0,0.0,21.0,123.0,90.0,334.0,0.5,5.0,14.0,4.0,61.0,68.0,0.897,0.0,0.0,0,24.0,100,11,0.9,3.0,1.0,2.0,8.0,0,14.0,0.0,1.0,15.0,1.0,9,1,0,GM Garner,1,19 ,0.0,4.0,11
39,London Irish,1.0,1.0,1.0,100.0,5.0,7.0,71.42857142857143,0.75,0.0,0.0,24.0,107.0,83.0,351.0,0.5,4.0,11.0,4.0,53.0,58.0,0.914,0.0,0.0,0,14.0,105,14,0.88,8.0,2.0,1.0,3.0,0,15.0,1.0,0.0,14.0,0.938,11,1,0,GM Garner,0, 22,1.0,10.0,9
40,Saracens,4.0,4.0,4.0,100.0,4.0,4.0,100.0,1.0,0.0,0.0,30.0,103.0,80.0,449.0,0.57,7.0,17.0,5.0,54.0,56.0,0.9640000000000001,0.0,0.0,0,18.0,148,28,0.84,9.0,0.0,3.0,7.0,0,11.0,1.0,3.0,5.0,0.917,6,2,0,JP Doyle,1,40 ,1.0,9.0,12
41,Sale Sharks,3.0,2.0,3.0,66.66666666666666,0.0,0.0,0.0,0.67,0.0,1.0,28.0,198.0,137.0,388.0,0.43,9.0,28.0,12.0,10.0,1.0,0.981,0.0,0.0,0,14.0,74,17,0.81,7.0,3.0,0.0,9.0,0,5.0,3.0,1.0,11.0,0.625,12,1,0,JP Doyle,0, 19,0.0,10.0,6
42,Northampton Saints,4.0,4.0,4.0,100.0,1.0,2.0,50.0,0.83,0.0,0.0,23.0,97.0,84.0,420.0,0.45,9.0,21.0,8.0,52.0,53.0,0.981,7.0,7.0,1,10.0,100,24,0.81,5.0,1.0,1.0,5.0,1,12.0,1.0,3.0,14.0,0.9229999999999999,11,0,0,T Wigglesworth,1,31 ,1.0,6.0,9 
43,Bath Rugby,3.0,3.0,3.0,100.0,1.0,1.0,100.0,1.0,0.0,0.0,19.0,131.0,100.0,357.0,0.55,13.0,24.0,4.0,78.0,80.0,0.975,7.0,8.0,0,10.0,70,21,0.77,5.0,1.0,1.0,5.0,0,14.0,3.0,1.0,12.0,0.8240000000000001,9 ,1,0,T Wigglesworth,0, 24,0.0,6.0,11
44,Exeter Chiefs,3.0,3.0,3.0,100.0,5.0,6.0,83.33333333333334,0.89,0.0,0.0,22.0,81.0,61.0,345.0,0.46,11.0,13.0,8.0,38.0,42.0,0.905,1.0,3.0,0,11.0,92,16,0.85,11.0,2.0,0.0,6.0,0,8.0,2.0,3.0,11.0,0.8,13,1,0,A Small,1,36 ,1.0,13.0,10
45,Harlequins,1.0,1.0,1.0,100.0,2.0,3.0,66.66666666666666,0.75,0.0,0.0,14.0,112.0,93.0,324.0,0.54,8.0,16.0,17.0,64.0,69.0,0.9279999999999999,3.0,5.0,0,19.0,66,13,0.84,6.0,0.0,2.0,11.0,0,11.0,3.0,2.0,8.0,0.7859999999999999,10,0,0,A Small,0, 13,0.0,6.0,13
46,Wasps,4.0,3.0,4.0,75.0,3.0,3.0,100.0,0.86,0.0,0.0,24.0,117.0,103.0,481.0,0.67,5.0,13.0,9.0,73.0,77.0,0.948,0.0,0.0,0,13.0,98,16,0.86,9.0,1.0,0.0,7.0,0,14.0,2.0,1.0,14.0,0.875,13,1,0,DD Richards,1,35 ,1.0,10.0,11
47,Newcastle Falcons,2.0,1.0,2.0,50.0,2.0,3.0,66.66666666666666,0.6,0.0,0.0,21.0,134.0,95.0,343.0,0.33,3.0,16.0,8.0,67.0,72.0,0.9309999999999999,0.0,0.0,0,19.0,115,13,0.9,7.0,0.0,1.0,9.0,0,14.0,1.0,2.0,14.0,0.9329999999999999,11,0,0,DD Richards,0, 18,0.0,7.0,13
48,Bath Rugby,2.0,1.0,2.0,50.0,3.0,7.0,42.857142857142854,0.44,0.0,0.0,29.0,103.0,86.0,420.0,0.41,8.0,33.0,7.0,57.0,62.0,0.919,6.0,7.0,0,14.0,151,18,0.89,4.0,1.0,1.0,5.0,0,10.0,2.0,1.0,4.0,0.833,7 ,0,0,GM Garner,1,21 ,1.0,5.0,11
49,Saracens,1.0,0.0,1.0,0.0,2.0,4.0,50.0,0.4,0.0,0.0,29.0,150.0,125.0,465.0,0.59,2.0,18.0,6.0,10.0,1.0,0.971,2.0,3.0,0,15.0,91,33,0.73,5.0,1.0,1.0,4.0,0,4.0,1.0,2.0,10.0,0.8,11,1,0,GM Garner,0, 11,0.0,6.0,7 
50,Harlequins,7.0,7.0,7.0,100.0,1.0,1.0,100.0,1.0,0.0,0.0,18.0,121.0,96.0,497.0,1.0,16.0,28.0,12.0,60.0,63.0,0.9520000000000001,0.0,0.0,0,14.0,76,2,0.97,15.0,1.0,1.0,5.0,0,5.0,2.0,6.0,14.0,0.7140000000000001,13,1,0,DD Richards,1,52 ,1.0,16.0,10
51,London Welsh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,69.0,65.0,146.0,0.0,1.0,2.0,4.0,47.0,50.0,0.94,0.0,0.0,0,16.0,98,28,0.78,5.0,1.0,1.0,15.0,0,14.0,6.0,2.0,5.0,0.7,10,2,0,DD Richards,0, 0,0.0,6.0,13
52,London Irish,0.0,0.0,0.0,0.0,4.0,6.0,66.66666666666666,0.67,0.0,1.0,27.0,101.0,73.0,126.0,0.0,1.0,10.0,5.0,63.0,66.0,0.955,0.0,0.0,0,11.0,95,16,0.86,7.0,1.0,2.0,6.0,0,10.0,0.0,0.0,11.0,1.0,11,0,0,M Carley,1,12 ,0.0,8.0,8
53,Northampton Saints,1.0,1.0,1.0,100.0,4.0,6.0,66.66666666666666,0.71,0.0,0.0,26.0,93.0,74.0,240.0,1.0,3.0,16.0,3.0,59.0,61.0,0.9670000000000001,0.0,0.0,0,12.0,88,10,0.9,6.0,2.0,1.0,7.0,0,11.0,0.0,0.0,10.0,1.0,8,0,0,M Carley,0, 19,1.0,8.0,11
54,Gloucester Rugby,3.0,3.0,3.0,100.0,4.0,5.0,80.0,0.88,0.0,0.0,24.0,127.0,102.0,466.0,0.54,8.0,19.0,12.0,73.0,78.0,0.9359999999999999,3.0,6.0,0,14.0,84,17,0.83,8.0,1.0,1.0,5.0,0,16.0,3.0,1.0,12.0,0.8420000000000001,9 ,0,0,A Small,1,33 ,1.0,9.0,13
55,Leicester Tigers,1.0,1.0,1.0,100.0,3.0,3.0,100.0,1.0,0.0,0.0,27.0,134.0,91.0,345.0,0.46,4.0,17.0,15.0,60.0,62.0,0.968,2.0,3.0,0,16.0,111,19,0.85,5.0,1.0,1.0,8.0,0,12.0,1.0,3.0,16.0,0.9229999999999999,13,1,0,A Small,0, 16,0.0,6.0,9 
56,Sale Sharks,3.0,2.0,3.0,66.66666666666666,1.0,4.0,25.0,0.43,1.0,0.0,25.0,101.0,90.0,330.0,0.38,5.0,27.0,6.0,60.0,62.0,0.968,2.0,2.0,1,13.0,163,26,0.86,5.0,2.0,2.0,4.0,1,12.0,2.0,0.0,13.0,0.857,9 ,1,0,L Pearce,1,25 ,1.0,7.0,12
57,Wasps,2.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,190.0,161.0,653.0,0.62,8.0,26.0,15.0,10.0,1.0,0.93,7.0,10.0,0,19.0,83,27,0.75,4.0,2.0,2.0,5.0,0,13.0,0.0,2.0,12.0,1.0,12,1,0,L Pearce,0, 14,0.0,6.0,9 
58,Newcastle Falcons,3.0,1.0,3.0,33.33333333333333,4.0,4.0,100.0,0.71,0.0,0.0,27.0,112.0,79.0,366.0,0.5,13.0,27.0,6.0,53.0,56.0,0.946,0.0,0.0,0,9.0,170,28,0.86,9.0,2.0,0.0,3.0,0,13.0,1.0,3.0,7.0,0.929,12,0,0,T Wigglesworth,1,29 ,1.0,11.0,8
59,Exeter Chiefs,3.0,0.0,3.0,0.0,3.0,3.0,100.0,0.5,0.0,0.0,19.0,199.0,144.0,603.0,0.5,4.0,28.0,10.0,97.0,10.0,0.97,0.0,0.0,0,16.0,72,27,0.73,3.0,0.0,2.0,9.0,0,7.0,3.0,1.0,13.0,0.7,8,0,0,T Wigglesworth,0, 24,0.0,3.0,12
60,Leicester Tigers,1.0,1.0,1.0,100.0,5.0,9.0,55.55555555555556,0.6,0.0,2.0,33.0,76.0,80.0,310.0,0.45,5.0,10.0,5.0,62.0,64.0,0.9690000000000001,1.0,1.0,1,6.0,110,9,0.92,5.0,1.0,2.0,4.0,1,5.0,1.0,4.0,14.0,0.833,9 ,0,0,T Wigglesworth,1,22 ,1.0,6.0,11
61,Harlequins,1.0,1.0,1.0,100.0,3.0,4.0,75.0,0.8,0.0,0.0,29.0,98.0,86.0,207.0,0.55,1.0,9.0,2.0,72.0,74.0,0.973,5.0,6.0,0,12.0,85,10,0.89,4.0,2.0,1.0,5.0,0,14.0,4.0,1.0,5.0,0.778,11,0,0,T Wigglesworth,0, 16,0.0,6.0,9 
62,London Welsh,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,21.0,219.0,156.0,372.0,0.0,5.0,26.0,13.0,12.0,1.0,0.9690000000000001,0.0,0.0,0,19.0,107,22,0.83,8.0,2.0,1.0,7.0,0,14.0,2.0,3.0,8.0,0.875,7,0,0,W Barnes,1,3 ,0.0,10.0,11
63,Newcastle Falcons,3.0,1.0,3.0,33.33333333333333,2.0,3.0,66.66666666666666,0.5,0.0,0.0,25.0,142.0,95.0,390.0,1.0,7.0,22.0,10.0,65.0,68.0,0.956,0.0,0.0,0,12.0,213,26,0.89,7.0,1.0,2.0,8.0,0,8.0,3.0,2.0,14.0,0.727,11,1,0,W Barnes,0, 23,1.0,8.0,7
64,Exeter Chiefs,5.0,5.0,5.0,100.0,3.0,3.0,100.0,1.0,0.0,0.0,23.0,130.0,92.0,298.0,0.62,5.0,15.0,8.0,64.0,67.0,0.955,0.0,0.0,0,12.0,137,28,0.83,1.0,2.0,2.0,2.0,0,18.0,2.0,2.0,10.0,0.9,9,0,0,I Tempest,1,44 ,1.0,3.0,13
65,London Irish,3.0,3.0,3.0,100.0,1.0,1.0,100.0,1.0,0.0,0.0,19.0,173.0,143.0,646.0,0.38,14.0,28.0,25.0,89.0,92.0,0.9670000000000001,0.0,0.0,0,15.0,98,15,0.87,2.0,2.0,2.0,1.0,0,10.0,2.0,2.0,18.0,0.833,13,1,0,I Tempest,0, 24,0.0,4.0,9
66,Saracens,3.0,2.0,3.0,66.66666666666666,3.0,3.0,100.0,0.83,0.0,0.0,22.0,159.0,127.0,492.0,0.6,8.0,20.0,15.0,90.0,93.0,0.968,0.0,0.0,0,15.0,95,15,0.86,6.0,1.0,0.0,3.0,0,14.0,2.0,3.0,14.0,0.875,12,0,0,DD Richards,1,28 ,1.0,7.0,19
67,Gloucester Rugby,2.0,1.0,2.0,50.0,3.0,5.0,60.0,0.57,0.0,0.0,23.0,113.0,87.0,289.0,0.4,4.0,15.0,11.0,64.0,68.0,0.941,0.0,0.0,0,14.0,131,20,0.87,3.0,0.0,1.0,6.0,0,14.0,3.0,2.0,14.0,0.8240000000000001,19,1,0,DD Richards,0, 21,0.0,3.0,12
68,Northampton Saints,6.0,5.0,6.0,83.33333333333334,1.0,1.0,100.0,0.86,0.0,0.0,17.0,127.0,105.0,444.0,0.51,6.0,10.0,8.0,71.0,77.0,0.922,5.0,9.0,0,15.0,87,8,0.92,5.0,0.0,1.0,7.0,0,14.0,0.0,4.0,17.0,1.0,14,0,0,A Small,1,43 ,1.0,5.0,13
69,Sale Sharks,1.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,0.0,0.0,16.0,109.0,87.0,168.0,0.49,5.0,8.0,7.0,69.0,71.0,0.972,10.0,1.0,1,7.0,106,10,0.91,7.0,1.0,0.0,5.0,1,17.0,4.0,0.0,14.0,0.81,13,0,0,A Small,0, 10,0.0,8.0,14
70,Wasps,2.0,2.0,2.0,100.0,5.0,5.0,100.0,1.0,0.0,0.0,26.0,103.0,95.0,350.0,0.51,5.0,18.0,13.0,64.0,66.0,0.97,3.0,3.0,1,9.0,109,22,0.83,9.0,3.0,1.0,5.0,1,8.0,1.0,3.0,13.0,0.889,11,0,0,JP Doyle,1,29 ,1.0,12.0,16
71,Bath Rugby,3.0,2.0,3.0,66.66666666666666,1.0,1.0,100.0,0.75,0.0,0.0,18.0,139.0,105.0,487.0,0.49,7.0,22.0,9.0,67.0,72.0,0.9309999999999999,3.0,4.0,0,12.0,109,18,0.86,5.0,1.0,3.0,9.0,0,13.0,3.0,1.0,8.0,0.812,16,3,0,JP Doyle,0, 22,0.0,6.0,11
72,Sale Sharks,5.0,4.0,5.0,80.0,1.0,3.0,33.33333333333333,0.62,0.0,0.0,24.0,83.0,82.0,276.0,0.83,9.0,10.0,9.0,45.0,48.0,0.938,0.0,0.0,0,10.0,69,16,0.81,11.0,2.0,1.0,6.0,0,12.0,2.0,1.0,12.0,0.857,11,0,0,M Carley,1,36 ,1.0,13.0,13
