,Team_Name,Tries_Scored,Conversions,Conversion_Attempts,Conversion_Percentage,Penalty_Goals,Penalty_Attempts,Penalty_Percentage,Kick_at_Goal_Success,Drop_Goals,Drop_Goal_Attempts,Kicks_from_Hand,Passes,Runs,Metres_Run,Possession(%),Clean_Breaks,Defenders_Beaten,Offloads,Rucks_Won,Total_Rucks,%Rucks_Won,Mauls_Won,Total_Mauls,%Mauls_Won,Turnovers_Conceded,Tackles_Made,Tackles_Missed,Tackling_Success_Rate,Own_Scrum_Won,Own_Scrum_Lost,Opp_Scrum_Won,Opp_Scrum_Lost,%Scrums_on_own_feed,Own_Lineout_Won,Own_Lineout_Lost,Opp_Lineout_Won,Opp_Lineout_Lost,%Lineouts_on_own_feed,Penalties_Conceeded,Yellow_Cards,Red_Cards,Referee,Playing_Location,Result,Outcome,Tot_Own_Scrums,Penalties_Won
1612,Leicester Tigers,3.0,3.0,3.0,100.0,1.0,1.0,100.0,1.0,0.0,0.0,25.0,99.0,68.0,336.0,0.0,6.0,6.0,6.0,54.0,59.0,0.915,0.0,0.0,0,11.0,63,7,0.9,16.0,0.0,0.0,9.0,0,16.0,5.0,7.0,7.0,0.762,9,0,0,CR White,1,24 ,1.0,16.0,13
1613,London Irish,3.0,2.0,2.0,100.0,1.0,1.0,100.0,1.0,0.0,0.0,21.0,74.0,58.0,353.0,0.0,5.0,6.0,8.0,37.0,41.0,0.902,0.0,0.0,0,12.0,85,8,0.914,9.0,0.0,0.0,16.0,0,7.0,7.0,5.0,16.0,0.5,13,1,0,CR White,0, 22,0.0,9.0,9
1614,Wasps,1.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,0.0,0.0,30.0,129.0,131.0,526.0,0.0,5.0,15.0,10.0,97.0,10.0,0.9420000000000001,0.0,0.0,0,17.0,115,12,0.905,13.0,1.0,1.0,6.0,0,10.0,3.0,6.0,10.0,0.769,15,0,0,M Fox,1,10 ,0.0,14.0,12
1615,Worcester Warriors,1.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,33.0,113.0,103.0,524.0,0.0,3.0,13.0,11.0,66.0,71.0,0.93,0.0,0.0,0,19.0,156,14,0.9179999999999999,6.0,1.0,1.0,13.0,0,10.0,6.0,3.0,10.0,0.625,12,0,0,M Fox,0, 11,1.0,7.0,15
1616,Newcastle Falcons,2.0,2.0,2.0,100.0,5.0,5.0,100.0,1.0,1.0,0.0,33.0,80.0,63.0,225.0,0.0,3.0,10.0,6.0,51.0,53.0,0.9620000000000001,0.0,0.0,0,10.0,127,7,0.948,5.0,0.0,0.0,6.0,0,10.0,2.0,3.0,8.0,0.833,14,1,0,A Small,1,32 ,1.0,5.0,9
1617,Northampton Saints,1.0,1.0,1.0,100.0,5.0,5.0,100.0,1.0,0.0,0.0,32.0,120.0,87.0,401.0,0.0,4.0,7.0,6.0,60.0,61.0,0.9840000000000001,0.0,0.0,0,13.0,90,10,0.9,6.0,0.0,0.0,5.0,0,8.0,3.0,2.0,10.0,0.727,9,1,0,A Small,0, 22,0.0,6.0,14
1618,Bristol Rugby,0.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,37.0,176.0,124.0,466.0,0.0,2.0,10.0,8.0,95.0,99.0,0.96,0.0,0.0,0,13.0,70,8,0.897,6.0,0.0,1.0,9.0,0,13.0,0.0,3.0,13.0,1.0,14,1,0,DM Rose,1,6 ,0.0,6.0,12
1619,Sale Sharks,0.0,0.0,0.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0,35.0,63.0,72.0,353.0,0.0,3.0,8.0,5.0,54.0,57.0,0.9470000000000001,0.0,0.0,0,13.0,141,10,0.934,9.0,1.0,0.0,6.0,0,13.0,3.0,0.0,13.0,0.812,12,0,0,DM Rose,0, 9,1.0,10.0,14
1620,Gloucester Rugby,2.0,1.0,1.0,100.0,3.0,3.0,100.0,1.0,1.0,0.0,29.0,162.0,116.0,487.0,0.0,1.0,7.0,11.0,77.0,82.0,0.9390000000000001,0.0,0.0,0,13.0,87,19,0.821,13.0,0.0,0.0,6.0,0,13.0,1.0,3.0,7.0,0.929,7,0,0,RS Debney,1,24 ,1.0,13.0,11
1621,Harlequins,3.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,0.0,0.0,29.0,63.0,59.0,371.0,0.0,6.0,19.0,3.0,40.0,41.0,0.976,0.0,0.0,0,14.0,149,7,0.955,6.0,0.0,0.0,13.0,0,7.0,3.0,1.0,13.0,0.7,11,1,0,RS Debney,0, 20,0.0,6.0,7
1622,London Irish,2.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,29.0,94.0,87.0,523.0,0.0,7.0,11.0,5.0,53.0,55.0,0.9640000000000001,0.0,0.0,0,8.0,76,5,0.938,9.0,0.0,0.0,5.0,0,8.0,2.0,3.0,9.0,0.8,13,0,0,Unknown,1,16 ,0.0,9.0,12
1623,Bath Rugby,1.0,0.0,0.0,0.0,5.0,5.0,100.0,1.0,0.0,0.0,27.0,94.0,65.0,326.0,0.0,1.0,4.0,0.0,50.0,52.0,0.9620000000000001,0.0,0.0,0,8.0,96,11,0.897,5.0,0.0,0.0,9.0,0,9.0,3.0,2.0,8.0,0.75,12,1,0,Unknown,0, 20,1.0,5.0,13
1624,Northampton Saints,3.0,3.0,3.0,100.0,1.0,1.0,100.0,1.0,0.0,0.0,23.0,90.0,79.0,384.0,0.0,6.0,9.0,6.0,67.0,71.0,0.9440000000000001,0.0,0.0,0,6.0,104,9,0.92,4.0,1.0,1.0,7.0,0,9.0,3.0,3.0,7.0,0.75,17,1,0,CR White,1,24 ,1.0,5.0,17
1625,Wasps,1.0,0.0,0.0,0.0,5.0,5.0,100.0,1.0,0.0,0.0,17.0,116.0,87.0,415.0,0.0,3.0,9.0,2.0,70.0,80.0,0.875,0.0,0.0,0,12.0,105,9,0.9209999999999999,7.0,1.0,1.0,4.0,0,7.0,3.0,3.0,9.0,0.7,17,1,0,CR White,0, 20,0.0,8.0,17
1626,Worcester Warriors,2.0,2.0,2.0,100.0,1.0,1.0,100.0,1.0,0.0,0.0,27.0,104.0,82.0,506.0,0.0,4.0,20.0,5.0,71.0,78.0,0.91,0.0,0.0,0,15.0,124,13,0.905,7.0,0.0,1.0,8.0,0,11.0,4.0,5.0,6.0,0.733,10,1,0,A Small,1,17 ,0.0,7.0,14
1627,Leicester Tigers,1.0,1.0,1.0,100.0,4.0,4.0,100.0,1.0,0.0,0.0,26.0,142.0,105.0,534.0,0.0,9.0,13.0,9.0,84.0,88.0,0.955,0.0,0.0,0,11.0,107,21,0.836,8.0,1.0,0.0,7.0,0,6.0,5.0,4.0,11.0,0.545,14,2,0,A Small,0, 19,1.0,9.0,10
1628,Saracens,5.0,2.0,2.0,100.0,4.0,4.0,100.0,1.0,1.0,0.0,37.0,126.0,105.0,645.0,0.0,9.0,24.0,14.0,72.0,75.0,0.96,0.0,0.0,0,13.0,125,17,0.88,11.0,0.0,0.0,6.0,0,12.0,4.0,7.0,14.0,0.75,8,0,0,DD Richards,1,44 ,1.0,11.0,16
1629,Newcastle Falcons,2.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,134.0,90.0,559.0,0.0,8.0,18.0,9.0,58.0,59.0,0.983,0.0,0.0,0,18.0,141,21,0.87,6.0,0.0,0.0,11.0,0,14.0,7.0,4.0,12.0,0.667,16,2,0,DD Richards,0, 14,0.0,6.0,8
1630,Sale Sharks,2.0,2.0,2.0,100.0,3.0,3.0,100.0,1.0,0.0,0.0,54.0,111.0,111.0,551.0,0.0,5.0,10.0,7.0,86.0,89.0,0.966,0.0,0.0,0,8.0,43,1,0.977,3.0,2.0,1.0,3.0,0,13.0,5.0,2.0,19.0,0.722,14,1,0,A Small,1,23 ,1.0,5.0,11
1631,Gloucester Rugby,0.0,0.0,0.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0,56.0,75.0,34.0,95.0,0.0,1.0,0.0,1.0,33.0,35.0,0.943,0.0,0.0,0,10.0,136,10,0.932,3.0,1.0,2.0,3.0,0,19.0,2.0,5.0,13.0,0.905,11,0,0,A Small,0, 9,0.0,4.0,14
1632,Newcastle Falcons,2.0,2.0,2.0,100.0,1.0,1.0,100.0,1.0,0.0,0.0,45.0,100.0,85.0,345.0,0.0,1.0,9.0,5.0,63.0,70.0,0.9,0.0,0.0,0,17.0,108,8,0.9309999999999999,12.0,0.0,1.0,9.0,0,12.0,2.0,2.0,18.0,0.857,10,0,0,CR White,1,17 ,1.0,12.0,6
1633,Bristol Rugby,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,40.0,138.0,92.0,302.0,0.0,0.0,8.0,4.0,73.0,76.0,0.961,0.0,0.0,0,20.0,105,8,0.929,9.0,1.0,0.0,12.0,0,18.0,2.0,2.0,12.0,0.9,6,0,0,CR White,0, 3,0.0,10.0,10
1634,Leicester Tigers,1.0,1.0,1.0,100.0,4.0,5.0,80.0,0.833,0.0,1.0,41.0,78.0,70.0,252.0,0.0,3.0,8.0,5.0,54.0,57.0,0.9470000000000001,2.0,2.0,1,13.0,159,14,0.919,9.0,0.0,2.0,11.0,1,10.0,0.0,4.0,14.0,1.0,12,0,0,W Barnes,1,19 ,0.0,9.0,11
1635,Wasps,1.0,1.0,1.0,100.0,5.0,5.0,100.0,1.0,2.0,2.0,34.0,78.0,101.0,340.0,0.0,1.0,14.0,5.0,86.0,91.0,0.945,2.0,2.0,1,9.0,90,8,0.9179999999999999,11.0,2.0,0.0,9.0,1,14.0,4.0,0.0,10.0,0.778,11,0,0,W Barnes,0, 28,1.0,13.0,12
