Clock,TimeLeft,PhaseID,PhaseTime,PhaseName,RucksNo,PosGainline,NegGainline,Linebreak,LineBreakPrevPhase,rdNear,rdRuck,rdFar,rdMiddle,rsSlow,rsMedium,rsFast,KickTotal,KickedInfield,KickedtoTouch,turnoverTot,turnoverKick,turnoverContact,fromTurnover,penFK,penContact,Tries,TryTotal,PenTotal,TotDraPoss,TotOppPoss,TotDraLineB,TotAwayLineBreaks,DragScore,AwayScore
31.62983219,80,833,0.46894637,.:P1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,10.78893888,7.733979058,2,3,8,8
33.36477452,70,866,0.113099982,.:P1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.22455192,8.169592095,2,3,8,8
33.97859245,70,877,0.131871781,.:P1,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11.30431857,8.249358744,2,3,8,8
36.32858599,70,908,0.266457537,.:P1,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.40285702,8.44643564,2,3,8,11
41.19414171,70,990,0.157193089,.:P1,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11.63598122,9.145808252,2,3,8,16
43.38385449,60,1038,0.217338595,.:P1,1,0,0,0,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11.75984098,9.269668007,2,3,8,16
44.33883929,60,1060,0.192797427,.:P1,1,0,0,0,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11.94384624,9.453673269,2,3,8,16
44.87666718,60,1081,0.154396386,.:P1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.10331033,9.613137363,2,3,8,16
45.62138862,60,1104,0.155861068,.:P1,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,12.15704135,9.666868378,2,3,8,16
45.66707321,60,1112,0.338005165,.:P1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,12.27956908,9.789396112,2,3,8,16
47.99979084,60,1143,0.272070982,.:P1,1,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.53855632,10.04838335,2,3,8,16
49.3317467,60,1166,0.595465317,.:P1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,12.76295326,10.27278029,2,3,8,16
50.09698575,60,1184,0.165702249,.:P1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.32508525,10.83491228,2,3,8,16
51.00123438,60,1213,0.318431756,.:P1,0,0,0,1,From Lineout Quick,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.672823,11.18265003,2,4,8,16
52.10565368,60,1230,0.198949842,.:P1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.95792142,11.46774845,2,4,8,16
53.88812329,50,1264,0.176194444,.:P1,1,0,1,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.37154102,11.88136805,2,4,8,16
54.61191682,50,1291,0.270555748,.:P1,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14.92683002,11.88136805,2,4,11,16
55.78033145,50,1325,0.364242025,.:P1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,15.23511373,12.18965176,2,4,11,16
57.81499454,50,1368,0.339541166,.:P1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,15.49299152,12.44752955,2,4,11,16
0.669586851,80,6,0.175614486,.:P1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.813728986,80,61,0.145992898,.:P1,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.547609042,0.547609042,0,0,0,0
4.791436913,80,112,0.300431623,.:P1,1,1,0,0,,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.660268606,0.772928171,0,1,0,0
5.846640884,80,149,0.241191289,.:P1,1,1,0,0,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.261614557,1.374274121,0,1,0,0
7.369143222,80,180,0.150271279,.:P1,0,1,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.563080437,1.675740001,0,2,0,0
10.25115166,80,252,0.158103198,.:P1,1,1,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56670434,2.679363905,0,2,0,0
12.02029648,80,274,0.333417592,.:P1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.821661685,2.679363905,0,2,3,0
13.03616834,80,307,0.177460807,.:P1,1,0,0,0,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.549933464,2.679363905,0,2,3,0
14.17933087,80,350,0.167191804,.:P1,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4.15529891,3.28472935,0,2,3,0
14.17933087,80,359,0.133250782,.:P1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.289157381,3.418587821,0,2,3,0
20.88506423,80,426,0.195222099,.:P1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.389074829,3.818257614,0,3,3,0
20.88506423,80,462,0.419305547,.:P1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.570145883,3.999328668,1,3,3,0
23.16768611,80,487,0.31383,.:P1,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.996558127,4.425740912,1,3,3,3
23.16768611,80,524,0.194794954,.:P1,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5.813730574,5.242913359,1,3,3,3
24.29259701,80,537,0.2052664,.:P1,1,0,1,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.975192195,5.40437498,1,3,3,3
25.48533474,80,569,0.232815329,.:P1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.520419864,5.949602649,1,3,3,3
25.49491699,80,588,0.242019938,.:P1,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,6.836940422,6.266123207,1,3,3,3
28.29352186,80,635,0.151088922,.:P1,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.045627026,6.683496416,1,4,3,10
29.55657646,80,694,0.225698443,.:P1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.770701133,7.408570523,1,4,3,10
32.71012547,80,716,0.223910638,.:P1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.026869175,7.664738565,1,4,3,10
32.71012547,80,749,0.1730576,.:P1,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8.525117802,8.162987192,1,4,3,10
32.71012547,80,770,0.162217073,.:P1,0,1,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.664842069,8.302711458,1,5,3,10
32.71012547,80,797,0.121698624,.:P1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9.084022652,8.721892042,1,5,3,10
32.71012547,80,828,0.160827094,.:P1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.774264387,9.412133777,1,5,3,10
34.17579268,70,841,0.142793746,.:P1,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9.901758149,9.412133777,1,5,6,10
37.3251202,70,901,0.145427939,.:P1,0,1,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10.01121856,9.740515015,1,6,6,17
38.74857473,70,959,0.312334703,.:P1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.09135832,9.740515015,1,6,9,17
39.82224467,70,983,0.180480627,.:P1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.34735805,9.996514748,1,6,9,17
40.54160491,70,1022,0.146393674,.:P1,1,0,0,0,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.13617528,9.996514748,2,6,9,17
42.56782885,70,1062,0.261406198,.:P1,1,1,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.24923563,10.22263543,2,6,9,17
44.68057553,60,1121,0.17603058,.:P1,1,0,0,0,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.84222089,10.81562069,2,6,9,17
45.57122029,60,1133,0.217899204,.:P1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.98491814,10.81562069,2,6,9,17
45.94907074,60,1152,0.254658249,.:P1,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.22505081,11.05575336,2,6,9,17
