Team_Name,Tries_Scored,Conversions,Conversion_Attempts,Conversion_Percentage,Penalty_Goals,Penalty_Attempts,Penalty_Percentage,Kick_at_Goal_Success,Drop_Goals,Drop_Goal_Attempts,Kicks_from_Hand,Passes,Runs,Metres_Run,Possession(%),Clean_Breaks,Defenders_Beaten,Offloads,Rucks_Won,Total_Rucks,%Rucks_Won,Mauls_Won,Total_Mauls,%Mauls_Won,Turnovers_Conceded,Tackles_Made,Tackles_Missed,Tackling_Success_Rate,Own_Scrum_Won,Own_Scrum_Lost,Opp_Scrum_Won,Opp_Scrum_Lost,%Scrums_on_own_feed,Own_Lineout_Won,Own_Lineout_Lost,Opp_Lineout_Won,Opp_Lineout_Lost,%Lineouts_on_own_feed,Penalties_Conceeded,Yellow_Cards,Red_Cards,Referee,Playing_Location,Result,Outcome,Tot_Own_Scrums,Penalties_Won
5,4,3,4,75,2,2,100,0.83,0,0,19,105,85,379,0.67,6,19,7,55,59,0.932,0,0,0,15,106,21,0.83,8,0,0,5,0,11,1,2,10,0.917,9,0,0,0,1,32,1,8,13
1,2,2,2,100,5,6,83.33333333,0.88,0,0,15,120,99,506,0.33,13,21,16,59,62,0.952,0,0,0,14,85,19,0.82,5,0,0,8,0,10,2,1,11,0.833,13,1,0,0,0,29,0,5,9
3,3,2,3,66.66666667,1,3,33.33333333,0.5,0,0,25,103,115,458,0.5,7,16,11,71,74,0.959,0,0,0,17,61,14,0.81,7,1,2,7,0,9,5,1,14,0.643,10,1,0,0,1,22,0,8,10
2,3,2,3,66.66666667,5,5,100,0.89,1,0,28,79,74,317,0.5,3,14,5,50,51,0.98,0,0,0,15,97,16,0.86,7,2,1,7,0,14,1,5,9,0.933,10,0,0,0,0,37,1,9,10
13,0,0,0,0,6,6,100,1,1,1,31,111,117,404,0,4,16,6,94,96,0.979,0,0,0,9,79,12,0.87,6,1,1,7,0,13,2,2,9,0.867,9,1,0,0,1,21,1,7,14
11,1,1,1,100,3,3,100,1,0,0,25,87,78,288,1,4,12,3,55,58,0.948,0,0,0,12,136,16,0.89,7,1,1,6,0,9,2,2,13,0.818,14,1,0,0,0,16,0,8,9
1,5,3,5,60,2,2,100,0.71,0,0,17,104,83,482,0.62,11,27,10,54,57,0.947,0,0,0,20,103,9,0.92,4,3,1,10,0,11,1,3,9,0.917,8,0,0,0,1,37,1,7,11
6,3,3,3,100,0,0,0,1,0,0,12,123,114,414,0.38,9,9,12,77,82,0.939,0,0,0,17,84,27,0.76,10,1,3,4,0,9,3,1,11,0.75,11,0,0,0,0,21,0,11,8
2,2,2,2,100,3,3,100,1,1,1,24,142,120,388,0.67,11,20,18,82,91,0.901,0,0,0,15,112,21,0.84,4,2,3,4,0,15,1,1,8,0.938,9,1,0,0,1,26,1,6,8
13,1,0,1,0,6,6,100,0.86,0,1,29,128,115,466,0.33,9,21,9,80,82,0.976,0,0,0,10,127,20,0.86,4,3,2,4,0,8,1,1,15,0.889,8,1,0,0,0,23,0,7,9
9,2,2,2,100,1,1,100,1,0,0,22,145,139,513,0.29,10,26,14,10,1,0.972,0,0,0,20,101,13,0.89,6,1,1,6,0,8,3,2,11,0.727,8,0,0,0,1,17,0,7,10
8,5,3,5,60,2,3,66.66666667,0.62,0,0,29,110,95,458,0.71,7,13,10,56,61,0.918,0,0,0,15,168,26,0.87,6,1,1,6,0,11,2,3,8,0.846,10,1,0,0,0,37,1,7,8
3,1,1,1,100,3,5,60,0.67,0,0,22,115,99,512,0.5,11,16,10,62,71,0.873,0,0,0,17,139,30,0.82,4,0,1,6,0,11,2,2,12,0.846,12,0,0,0,1,16,3,4,10
5,1,1,1,100,2,5,40,0.57,1,1,28,163,147,736,0.5,17,30,21,98,10,0.961,0,0,0,19,97,16,0.86,6,1,0,4,0,12,2,2,11,0.857,10,0,0,0,0,16,3,7,12
10,3,3,3,100,2,3,66.66666667,0.88,2,0,15,106,143,541,0.75,9,18,13,11,1,0.965,0,0,0,12,72,17,0.81,5,2,0,7,0,10,1,1,9,0.909,13,2,0,0,1,33,1,7,12
0,1,1,1,100,3,7,42.85714286,0.5,0,0,20,100,81,403,0.25,8,17,9,50,53,0.943,0,0,0,11,142,18,0.89,7,0,2,5,0,9,1,1,10,0.9,12,2,0,0,0,16,0,7,13
11,1,1,1,100,4,5,80,0.83,0,0,11,132,99,450,0.5,6,24,10,60,63,0.952,0,0,0,14,98,16,0.86,3,2,0,5,0,7,0,1,9,1,15,1,0,0,1,19,0,5,9
