Team_Name,Tries_Scored,Conversions,Conversion_Attempts,Conversion_Percentage,Penalty_Goals,Penalty_Attempts,Penalty_Percentage,Kick_at_Goal_Success,Drop_Goals,Drop_Goal_Attempts,Kicks_from_Hand,Passes,Runs,Metres_Run,Possession(%),Clean_Breaks,Defenders_Beaten,Offloads,Rucks_Won,Total_Rucks,Percent_Rucks_Won,Mauls_Won,Total_Mauls,Percent_Mauls_Won,Turnovers_Conceded,Tackles_Made,Tackles_Missed,Tackling_Success_Rate,Own_Scrum_Won,Own_Scrum_Lost,Opp_Scrum_Won,Opp_Scrum_Lost,Percent_Scrums_on_own_feed,Own_Lineout_Won,Own_Lineout_Lost,Opp_Lineout_Won,Opp_Lineout_Lost,Percent_Lineouts_on_own_feed,Penalties_Conceeded,Yellow_Cards,Red_Cards,Referee,Playing_Location,Result,Outcome,Tot_Own_Scrums,Penalties_Won
9,3,3,3,100,1,1,100,1,0,0,29,191,124,448,0.6,17,22,10,90,92,0.978,0,0,0,15,126,20,0.86,7,0,1,2,1,11,4,3,11,0.733,7,1,0,0,0,24,1,7,8
11,1,1,1,100,2,3,66.66666667,0.75,0,0,11,223,189,604,0.55,9,19,21,14,1,0.987,1,1,1,17,152,32,0.83,6,0,0,8,1,8,2,0,7,0.8,6,1,1,0,1,13,0,6,9
3,4,1,4,25,0,1,0,0.2,0,0,15,190,143,599,0.45,14,32,9,10,1,0.946,3,4,0,15,195,19,0.91,8,0,0,6,1,7,0,2,8,1,9,0,0,0,0,22,1,8,6
0,1,1,1,100,2,3,66.66666667,0.75,0,0,16,178,161,304,0.5,2,8,6,13,1,0.971,0,0,0,15,105,7,0.94,4,1,0,6,0.8,8,4,3,14,0.667,14,1,0,0,1,13,0,5,10
5,1,1,1,100,3,4,75,0.8,0,0,25,78,83,201,0.5,1,7,2,69,76,0.908,0,0,0,10,210,8,0.96,6,0,1,4,1,14,3,4,8,0.824,10,1,0,0,0,16,1,6,14
2,3,2,3,66.66666667,1,2,50,0.6,0,0,16,125,140,447,0.54,4,21,23,96,98,0.98,5,5,1,24,131,6,0.96,6,0,2,6,1,9,3,2,7,0.75,7,0,0,0,1,22,1,6,12
8,1,1,1,100,0,2,0,0.33,0,0,17,113,98,203,0.46,2,6,5,80,85,0.941,1,3,0,15,173,21,0.89,6,2,0,6,0.75,7,2,3,9,0.778,12,0,0,0,0,7,0,8,7
10,1,1,1,100,0,0,0,1,0,0,20,151,126,382,0.2,2,7,6,94,10,0.94,0,0,0,21,125,14,0.9,6,1,2,4,0.857,7,2,4,17,0.778,10,0,0,0,1,7,0,7,8
4,4,4,4,100,1,1,100,1,0,0,24,174,131,422,0.8,9,14,11,98,10,0.97,0,0,0,10,132,7,0.95,4,2,1,6,0.667,17,4,2,7,0.81,8,0,0,0,0,31,1,6,10
6,1,1,1,100,5,5,100,1,0,0,30,98,78,252,0.39,5,5,5,56,58,0.966,5,6,0,9,136,11,0.93,5,0,2,7,1,6,3,1,11,0.667,12,1,0,0,1,22,1,5,12
