Unnamed:_0,Team_Name,Tries_Scored,Conversions,Conversion_Attempts,Conversion_Percentage,Penalty_Goals,Penalty_Attempts,Penalty_Percentage,Kick_at_Goal_Success,Drop_Goals,Drop_Goal_Attempts,Kicks_from_Hand,Passes,Runs,Metres_Run,Possession(%),Clean_Breaks,Defenders_Beaten,Offloads,Rucks_Won,Total_Rucks,%Rucks_Won,Mauls_Won,Total_Mauls,%Mauls_Won,Turnovers_Conceded,Tackles_Made,Tackles_Missed,Tackling_Success_Rate,Own_Scrum_Won,Own_Scrum_Lost,Opp_Scrum_Won,Opp_Scrum_Lost,%Scrums_on_own_feed,Own_Lineout_Won,Own_Lineout_Lost,Opp_Lineout_Won,Opp_Lineout_Lost,%Lineouts_on_own_feed,Penalties_Conceeded,Yellow_Cards,Red_Cards,Referee,Playing_Location,Result,Outcome,Tot_Own_Scrums,Penalties_Won
290,4,5,5,5,100,3,4,75,0.89,0,0,30,99,91,425,0.46,10,18,6,58,61,0.951,16,1,0,16,97,19,0.84,4,0,3,7,0,16,1,0,7,0.941,9,0,0,33,1,44,1,4,18
291,1,0,0,0,0,4,5,80,0.8,0,0,28,96,100,428,0.54,5,19,7,70,76,0.921,1,2,0,9,75,18,0.81,7,3,0,4,0,7,0,1,16,1,18,1,1,33,0,12,0,10,9
292,12,1,1,1,100,2,2,100,1,0,0,17,120,85,296,0.38,3,6,7,57,62,0.919,4,5,0,14,150,37,0.8,7,0,1,3,0,7,2,1,14,0.778,13,3,0,33,1,13,0,7,13
293,9,4,4,4,100,3,3,100,1,0,0,19,211,162,610,0.62,8,36,38,10,1,0.963,8,8,1,11,101,6,0.94,3,1,0,7,1,14,1,2,7,0.933,13,1,0,33,0,37,1,4,13
294,2,2,2,2,100,4,5,80,0.86,0,1,31,122,93,301,0.4,2,7,3,77,79,0.975,0,0,0,7,87,6,0.94,6,2,2,4,0,12,0,1,17,1,13,0,0,7,1,26,1,8,8
295,5,3,2,3,66.66666667,1,1,100,0.75,0,0,21,90,76,226,0.6,2,6,4,53,57,0.93,0,0,0,14,104,7,0.94,4,2,2,6,0,17,1,0,12,0.944,8,0,0,7,0,22,0,6,13
296,6,5,3,5,60,0,0,0,0.6,0,0,32,177,124,514,1,7,18,9,88,93,0.946,0,0,0,17,127,9,0.93,2,0,2,5,0,23,0,3,13,1,11,1,0,13,1,31,1,2,9
297,7,0,0,0,0,1,1,100,1,1,0,23,124,110,274,0,2,9,7,87,90,0.967,0,0,0,19,122,18,0.87,5,2,0,2,0,13,3,0,23,0.812,9,1,0,13,0,6,0,7,11
298,8,2,2,2,100,3,5,60,0.71,0,0,17,115,86,327,0.5,4,9,10,60,61,0.984,0,0,0,15,89,9,0.91,9,1,0,6,0,8,2,2,12,0.8,12,1,0,2,1,23,0,10,10
299,11,2,2,2,100,5,6,83.33333333,0.88,0,0,22,89,80,322,0.5,2,9,3,57,61,0.934,0,0,0,16,92,9,0.91,6,0,1,9,0,12,2,2,8,0.857,10,1,0,2,0,29,1,6,12
300,1,3,1,3,33.33333333,3,5,60,0.5,0,1,24,123,107,320,0.61,5,15,7,84,87,0.966,2,3,0,12,65,14,0.82,8,1,3,2,0,15,3,1,13,0.833,8,0,0,12,1,26,1,9,17
301,0,3,3,3,100,1,1,100,1,0,0,14,94,77,386,0.39,7,14,10,41,46,0.891,4,4,1,21,114,15,0.88,2,3,1,8,1,13,1,3,15,0.929,17,1,0,12,0,24,0,5,8
302,4,4,4,4,100,1,1,100,1,0,0,20,114,91,285,0.51,4,12,6,66,72,0.917,8,9,0,14,121,15,0.89,5,3,3,9,0,14,1,3,8,0.933,15,0,0,1,1,31,1,8,11
303,3,2,2,2,100,1,2,50,0.75,0,0,14,120,106,422,0.49,4,15,10,73,80,0.912,4,5,0,15,99,12,0.89,9,3,3,5,0,8,3,1,14,0.727,11,1,0,1,0,17,0,12,15
304,0,5,4,5,80,0,0,0,0.8,0,0,27,168,117,480,0.55,11,9,15,86,91,0.945,7,10,0,11,94,10,0.9,5,1,0,3,0,14,0,2,22,1,14,1,0,13,1,33,1,6,7
305,2,2,2,2,100,0,2,0,0.5,0,0,26,138,90,236,0.45,1,10,7,72,74,0.973,9,9,1,15,123,9,0.93,3,0,1,5,1,22,2,0,14,0.917,7,0,0,13,0,14,0,3,14
306,3,5,4,5,80,0,0,0,0.8,0,0,13,114,90,346,0.71,6,21,8,59,64,0.922,0,0,0,13,115,13,0.9,6,2,3,5,0,13,3,4,12,0.812,13,0,0,3,1,33,1,8,16
307,8,2,1,2,50,2,3,66.66666667,0.6,0,0,19,118,105,314,0.29,1,13,12,73,76,0.961,0,0,0,10,98,21,0.82,5,3,2,6,0,12,4,3,13,0.75,16,2,0,3,0,18,0,8,13
308,5,4,0,4,0,4,5,80,0.44,0,0,23,110,93,352,0.8,5,24,10,65,69,0.942,0,0,0,11,140,16,0.9,8,0,3,2,0,8,1,3,12,0.889,12,0,0,4,1,32,1,8,13
