Team_Name,Tries_Scored,Conversions,Conversion_Attempts,Conversion_Percentage,Penalty_Goals,Penalty_Attempts,Penalty_Percentage,Kick_at_Goal_Success,Drop_Goals,Drop_Goal_Attempts,Kicks_from_Hand,Passes,Runs,Metres_Run,Possession(%),Clean_Breaks,Defenders_Beaten,Offloads,Rucks_Won,Total_Rucks,%Rucks_Won,Mauls_Won,Total_Mauls,%Mauls_Won,Turnovers_Conceded,Tackles_Made,Tackles_Missed,Tackling_Success_Rate,Own_Scrum_Won,Own_Scrum_Lost,Opp_Scrum_Won,Opp_Scrum_Lost,%Scrums_on_own_feed,Own_Lineout_Won,Own_Lineout_Lost,Opp_Lineout_Won,Opp_Lineout_Lost,%Lineouts_on_own_feed,Penalties_Conceeded,Yellow_Cards,Red_Cards,Referee,Playing_Location,Result,Outcome,Tot_Own_Scrums,Penalties_Won
13,1,1,1,100,4,5,80,0.83,0,0,21,88,85,314,1,7,11,4,70,73,0.959,0,0,0,15,98,14,0.88,8,2,1,7,0,11,4,1,8,0.733,8,0,0,0,0,19,1,10,9
2,1,1,1,100,1,1,100,1,0,0,17,135,126,354,0.2,5,24,18,87,91,0.956,0,0,0,15,143,28,0.84,9,2,2,5,0,11,2,3,8,0.846,8,0,0,0,1,10,0,11,10
8,4,3,4,75,1,1,100,0.8,0,1,18,179,132,474,0.8,8,28,23,83,83,1,0,0,0,15,127,24,0.84,5,2,2,9,0,8,3,2,11,0.727,10,0,0,0,0,29,1,7,8
5,1,1,1,100,4,7,57.14285714,0.62,0,0,24,137,115,463,0.5,10,24,19,61,64,0.953,0,0,0,17,184,35,0.84,10,1,0,7,0,8,1,3,9,0.889,10,0,0,0,1,19,1,11,8
6,1,1,1,100,0,3,0,0.25,0,0,14,182,163,647,0.5,13,35,16,10,1,0.937,0,0,0,25,113,24,0.82,7,0,1,10,0,9,3,1,8,0.75,8,1,0,0,0,7,0,7,10
4,7,7,7,100,2,2,100,1,0,0,15,286,145,664,0.78,7,18,10,10,1,0.991,0,0,0,18,67,12,0.85,7,0,1,6,0,12,0,2,9,1,7,0,0,0,1,55,1,7,8
16,2,2,2,100,2,3,66.66666667,0.8,0,0,15,74,71,324,0.22,9,12,4,46,48,0.958,0,0,0,14,165,18,0.9,6,1,0,7,0,9,2,0,12,0.818,8,0,0,0,0,20,0,7,7
9,2,2,2,100,3,5,60,0.71,0,0,21,125,118,547,1,9,34,9,81,86,0.942,0,0,0,25,70,11,0.86,6,0,3,5,0,7,2,2,12,0.778,11,1,0,0,1,23,1,6,12
3,0,0,0,0,6,7,85.71428571,0.86,0,0,25,88,68,251,0,2,11,6,50,51,0.98,0,0,0,17,145,34,0.81,5,3,0,6,0,12,2,2,7,0.857,12,1,0,0,0,18,0,8,11
13,1,1,1,100,1,4,25,0.4,0,1,24,155,132,477,0.5,4,19,10,91,95,0.958,0,0,0,18,100,16,0.86,9,1,1,5,0,10,2,2,9,0.833,11,0,0,0,1,10,0,10,10
0,1,1,1,100,4,4,100,1,0,0,24,130,96,328,0.5,4,16,4,70,76,0.921,0,0,0,15,136,19,0.88,5,1,1,9,0,9,2,2,10,0.818,10,0,0,0,0,19,1,6,11
2,10,7,10,70,0,2,0,0.58,0,0,17,90,85,505,0.91,11,19,6,51,53,0.962,0,0,0,12,90,11,0.89,7,0,1,11,0,11,1,3,6,0.917,8,1,0,0,1,64,1,7,12
Melbourne 14,1,1,1,100,0,0,0,1,0,0,12,129,95,220,0.09,1,11,11,55,61,0.902,0,0,0,15,75,19,0.8,11,1,0,7,0,6,3,1,11,0.667,12,1,0,0,0,7,0,12,8
11,4,3,4,75,3,4,75,0.75,0,0,34,87,102,504,0.8,8,25,4,68,76,0.895,0,0,0,14,117,29,0.8,3,1,1,3,0,9,2,4,11,0.818,10,0,0,0,1,35,1,4,9
8,1,1,1,100,5,5,100,1,0,0,27,140,115,434,0.2,4,27,10,76,79,0.962,0,0,0,16,95,26,0.79,3,1,1,3,0,11,4,2,9,0.733,9,0,0,0,0,22,0,4,10
12,3,3,3,100,3,3,100,1,0,1,6,174,123,560,0.5,10,15,2,92,96,0.958,0,0,0,17,103,20,0.84,9,1,1,9,0,6,3,1,5,0.667,8,0,0,0,1,30,1,10,12
7,3,3,3,100,2,3,66.66666667,0.83,0,0,9,119,91,406,0.5,9,21,7,65,66,0.985,0,0,0,15,140,16,0.9,9,1,1,9,0,5,1,3,6,0.833,12,0,0,0,0,27,0,10,8
6,3,3,3,100,4,5,80,0.88,0,0,20,151,115,371,0.43,8,22,7,88,89,0.989,0,0,0,9,131,12,0.92,6,0,2,6,0,12,3,1,5,0.8,7,1,0,0,1,33,0,6,11
9,4,4,4,100,2,4,50,0.75,0,0,22,119,120,416,0.57,7,12,13,81,84,0.964,0,0,0,9,137,22,0.86,6,2,0,6,0,5,1,3,12,0.833,11,0,0,0,0,34,1,8,7
10,6,5,6,83.33333333,2,3,66.66666667,0.78,0,1,22,166,102,463,0.67,4,18,8,73,75,0.973,0,0,0,21,113,11,0.91,8,1,2,7,0,7,2,3,10,0.778,11,0,0,0,1,46,1,9,8
16,3,3,3,100,3,4,75,0.86,0,0,20,112,96,247,0.33,3,11,3,76,83,0.916,0,0,0,15,126,18,0.88,7,2,1,8,0,10,3,2,7,0.769,8,0,0,0,0,30,0,9,11
5,2,2,2,100,3,4,75,0.83,0,1,17,96,91,389,0.67,9,21,7,62,66,0.939,0,0,0,16,150,15,0.91,11,0,1,7,0,8,3,2,8,0.727,11,1,0,0,1,23,1,11,8
