Team_Name,Tries_Scored,Conversions,Conversion_Attempts,Conversion_Percentage,Penalty_Goals,Penalty_Attempts,Penalty_Percentage,Kick_at_Goal_Success,Drop_Goals,Drop_Goal_Attempts,Kicks_from_Hand,Passes,Runs,Metres_Run,Possession(%),Clean_Breaks,Defenders_Beaten,Offloads,Rucks_Won,Total_Rucks,%Rucks_Won,Mauls_Won,Total_Mauls,%Mauls_Won,Turnovers_Conceded,Tackles_Made,Tackles_Missed,Tackling_Success_Rate,Own_Scrum_Won,Own_Scrum_Lost,Opp_Scrum_Won,Opp_Scrum_Lost,%Scrums_on_own_feed,Own_Lineout_Won,Own_Lineout_Lost,Opp_Lineout_Won,Opp_Lineout_Lost,%Lineouts_on_own_feed,Penalties_Conceeded,Yellow_Cards,Red_Cards,Referee,Playing_Location,Result,Outcome,Tot_Own_Scrums,Penalties_Won
7,1,1,1,100,3,4,75,0.8,0,0,26,86,98,345,0.33,9,15,9,71,74,0.959,0,0,0,16,96,22,0.81,5,1,0,9,0,13,1,0,9,0.929,9,0,0,2,1,16,0,6,12
1,2,0,2,0,4,5,80,0.57,0,0,25,142,110,487,0.67,7,22,12,72,75,0.96,0,0,0,14,105,15,0.88,9,0,1,5,0,9,0,1,13,1,12,0,0,2,0,22,1,9,9
2,1,1,1,100,3,6,50,0.57,1,0,23,97,67,254,0.42,6,6,3,48,50,0.96,5,6,0,12,121,22,0.85,11,1,0,5,0,9,1,1,15,0.9,13,1,0,2,1,19,1,12,11
3,1,1,1,100,2,5,40,0.5,0,0,14,149,111,554,0.58,4,22,6,75,82,0.915,6,9,0,18,73,6,0.92,5,0,1,11,0,15,1,1,9,0.938,11,0,0,2,0,13,0,5,13
8,2,1,2,50,2,2,100,0.75,0,0,23,90,101,272,0.67,2,7,6,79,87,0.908,0,0,0,12,110,9,0.92,5,2,0,9,0,9,2,1,13,0.818,14,0,0,13,1,18,1,7,5
9,1,1,1,100,2,5,40,0.5,0,0,16,152,112,362,0.33,2,9,6,81,89,0.91,0,0,0,17,101,7,0.94,9,0,2,5,0,13,1,2,9,0.929,5,0,0,13,0,13,0,9,14
4,1,1,1,100,4,6,66.66666667,0.71,0,0,32,96,85,344,0.33,2,11,8,60,65,0.923,0,0,0,21,112,30,0.79,5,1,1,6,0,14,2,2,10,0.875,6,1,0,3,1,19,1,6,14
5,2,1,2,50,0,1,0,0.33,0,0,27,126,97,381,0.67,7,30,10,63,71,0.887,0,0,0,18,110,11,0.91,6,1,1,5,0,10,2,2,14,0.833,14,1,0,3,0,12,0,7,6
12,1,0,1,0,2,3,66.66666667,0.5,0,0,30,153,133,428,0.5,5,17,5,11,1,0.991,0,0,0,8,105,16,0.87,5,2,0,4,0,13,1,2,5,0.929,5,0,0,12,1,11,0,7,16
7,1,1,1,100,3,3,100,1,0,1,29,112,91,341,0.5,5,16,9,62,64,0.969,0,0,0,8,189,17,0.92,4,0,2,5,0,5,2,1,13,0.714,16,1,0,12,0,16,1,4,5
6,1,1,1,100,4,6,66.66666667,0.71,0,1,17,86,63,147,0.48,3,8,2,49,52,0.942,7,7,1,13,106,11,0.91,5,2,3,4,1,18,0,4,10,1,7,1,0,1,1,19,3,7,18
0,1,1,1,100,4,4,100,1,0,0,14,122,100,311,0.52,4,11,11,72,79,0.911,2,3,0,10,67,8,0.89,4,3,2,5,0,10,4,0,18,0.714,18,2,0,1,0,19,3,7,7
1,2,1,2,50,0,1,0,0.33,0,0,11,129,86,219,0.38,2,11,10,70,70,1,3,3,1,10,139,15,0.9,4,2,1,9,1,5,1,0,13,0.833,16,0,0,6,1,12,0,6,9
11,2,2,2,100,5,8,62.5,0.7,0,0,6,128,120,517,0.62,7,15,7,94,99,0.949,3,4,0,12,99,11,0.9,9,1,2,4,0,13,0,1,5,1,9,0,0,6,0,29,1,10,16
3,0,0,0,0,5,9,55.55555556,0.56,0,1,26,93,89,295,0.64,1,13,6,73,78,0.936,9,10,0,19,43,5,0.9,3,0,5,3,0,16,2,3,11,0.889,6,1,0,0,1,15,1,3,20
1,1,1,1,100,2,3,66.66666667,0.75,0,0,26,55,36,122,0.36,0,5,4,30,32,0.938,3,3,1,4,93,13,0.88,3,5,0,3,1,11,3,2,16,0.786,20,1,0,0,0,13,0,8,6
11,6,5,6,83.33333333,0,0,0,0.83,0,0,14,127,125,454,1,12,24,10,83,90,0.922,0,0,0,12,143,15,0.91,6,0,2,5,0,12,2,4,8,0.857,10,0,0,1,1,40,1,6,11
12,0,0,0,0,2,3,66.66666667,0.67,0,0,12,115,121,271,0,1,15,9,96,10,0.96,0,0,0,17,128,24,0.84,5,2,0,6,0,8,4,2,12,0.667,11,0,0,1,0,6,0,7,10
